sku,brand,mpn,ean,title,category,price_eur,cost_eur,stock
AG-KNIPEX-8701250,KNIPEX,87-01-250,4003773022022,KNIPEX Klieste instalaterske Cobra 8701250,Rucne naradie,31.90,20.10,12
AG-KNIPEX-8701180,KNIPEX,87-01-180,4003773022015,KNIPEX Klieste SIKO Cobra 8701180 180mm,Rucne naradie,20.78,13.50,8
AG-KNIPEX-8701300,KNIPEX,87-01-300,4003773022039,KNIPEX Klieste SIKO Cobra 8701300 300mm,Rucne naradie,37.00,24.00,5
AG-KNIPEX-8703180,KNIPEX,87-03-180,4003773005667,KNIPEX Klieste SIKO Cobra 8703180 180mm,Rucne naradie,35.70,23.00,6
AG-KNIPEX-8703250,KNIPEX,87-03-250,4003773043805,KNIPEX Klieste SIKO Cobra 8703250 250mm,Rucne naradie,37.20,24.50,10
AG-KNIPEX-8703300,KNIPEX,87-03-300,4003773041382,KNIPEX Klieste SIKO Cobra 8703300 300mm,Rucne naradie,48.00,31.00,4
AG-KNIPEX-8722250,KNIPEX,87-22-250,4003773077794,KNIPEX Klieste SIKO Cobra QuickSet 8722250,Rucne naradie,32.70,21.00,7
AG-KNIPEX-7102200,KNIPEX,71-02-200,4003773047056,KNIPEX Pakove klieste Mini 7102200 200mm,Rucne naradie,40.50,26.00,3
AG-KNIPEX-7112200,KNIPEX,71-12-200,4003773066859,KNIPEX Pakove klieste Mini 7112200 200mm,Rucne naradie,45.80,29.50,9
AG-KNIPEX-1252195,KNIPEX,12-52-195,4003773085829,KNIPEX Automaticke odizolovacie klieste PreciStrip16,Rucne naradie,78.78,51.00,2
